Neurons,Learning Rate,Episode Number,CPU in %,Ram,Start Time,End Time,Execution Time,Running Mean
10000,1e-4,1,95.3,23.3,2022-08-12 14:45:10.190335,2022-08-12 14:46:15.252842,0:01:05.062507,-20.0
10000,1e-4,2,97.8,23.3,2022-08-12 14:45:10.190335,2022-08-12 14:47:10.877839,0:02:00.687504,-20.0
10000,1e-4,3,97.8,23.2,2022-08-12 14:45:10.190335,2022-08-12 14:48:06.534095,0:02:56.343760,-20.0
10000,1e-4,4,98.0,23.2,2022-08-12 14:45:10.190335,2022-08-12 14:48:59.596593,0:03:49.406258,-20.01
10000,1e-4,5,98.1,23.2,2022-08-12 14:45:10.190335,2022-08-12 14:49:54.409096,0:04:44.218761,-20.009900000000002
10000,1e-4,6,98.1,23.0,2022-08-12 14:45:10.190335,2022-08-12 14:50:41.096587,0:05:30.906252,-20.019801
10000,1e-4,7,98.1,23.1,2022-08-12 14:45:10.190335,2022-08-12 14:51:32.799716,0:06:22.609381,-20.01960299
10000,1e-4,8,98.2,23.3,2022-08-12 14:45:10.190335,2022-08-12 14:52:38.143468,0:07:27.953133,-20.0294069601
10000,1e-4,9,98.0,23.1,2022-08-12 14:45:10.190335,2022-08-12 14:53:31.159096,0:08:20.968761,-20.039112890499002
10000,1e-4,10,97.1,23.3,2022-08-12 14:45:10.190335,2022-08-12 14:54:38.174710,0:09:27.984375,-20.03872176159401
10000,1e-4,11,98.3,23.2,2022-08-12 14:45:10.190335,2022-08-12 14:55:38.159088,0:10:27.968753,-20.048334543978072
10000,1e-4,12,97.7,23.2,2022-08-12 14:45:10.190335,2022-08-12 14:56:34.002839,0:11:23.812504,-20.05785119853829
10000,1e-4,13,97.7,23.2,2022-08-12 14:45:10.190335,2022-08-12 14:57:29.596588,0:12:19.406253,-20.067272686552908
10000,1e-4,14,97.6,23.2,2022-08-12 14:45:10.190335,2022-08-12 14:58:19.221590,0:13:09.031255,-20.07659995968738
10000,1e-4,15,97.5,23.2,2022-08-12 14:45:10.190335,2022-08-12 14:59:18.080973,0:14:07.890638,-20.085833960090504
10000,1e-4,16,97.6,23.3,2022-08-12 14:45:10.190335,2022-08-12 15:00:19.471591,0:15:09.281256,-20.064975620489598
10000,1e-4,17,97.6,23.4,2022-08-12 14:45:10.190335,2022-08-12 15:01:26.330967,0:16:16.140632,-20.0643258642847
10000,1e-4,18,99.3,23.7,2022-08-12 14:45:10.190335,2022-08-12 15:02:33.627841,0:17:23.437506,-20.06368260564185
10000,1e-4,19,98.8,23.5,2022-08-12 14:45:10.190335,2022-08-12 15:03:30.784095,0:18:20.593760,-20.073045779585435
10000,1e-4,20,96.6,23.6,2022-08-12 14:45:10.190335,2022-08-12 15:04:29.268460,0:19:19.078125,-20.082315321789583
10000,1e-4,21,97.9,23.6,2022-08-12 14:45:10.190335,2022-08-12 15:05:29.127839,0:20:18.937504,-20.071492168571687
