Neurons,Learning Rate,Episode Number,CPU in %,Ram,Start Time,End Time,Execution Time,Running Mean
200,1e-2,1,60.6,12.0,2022-08-11 18:05:31.587730,2022-08-11 18:05:34.322105,0:00:02.734375,-21.0
200,1e-2,2,68.4,12.1,2022-08-11 18:05:31.587730,2022-08-11 18:05:35.978355,0:00:04.390625,-20.99
200,1e-2,3,68.8,12.1,2022-08-11 18:05:31.587730,2022-08-11 18:05:37.790860,0:00:06.203130,-20.980099999999997
200,1e-2,4,70.1,12.0,2022-08-11 18:05:31.587730,2022-08-11 18:05:39.322102,0:00:07.734372,-20.980299
200,1e-2,5,65.1,12.0,2022-08-11 18:05:31.587730,2022-08-11 18:05:40.665855,0:00:09.078125,-20.98049601
200,1e-2,6,67.1,12.1,2022-08-11 18:05:31.587730,2022-08-11 18:05:42.400232,0:00:10.812502,-20.970691049899997
200,1e-2,7,69.2,12.0,2022-08-11 18:05:31.587730,2022-08-11 18:05:43.712733,0:00:12.125003,-20.960984139400995
200,1e-2,8,68.9,12.0,2022-08-11 18:05:31.587730,2022-08-11 18:05:45.243981,0:00:13.656251,-20.961374298006987
200,1e-2,9,67.3,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:05:46.509607,0:00:14.921877,-20.961760555026917
200,1e-2,10,64.4,12.0,2022-08-11 18:05:31.587730,2022-08-11 18:05:48.134603,0:00:16.546873,-20.952142949476645
200,1e-2,11,72.1,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:05:49.228354,0:00:17.640624,-20.95262151998188
200,1e-2,12,69.3,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:05:50.322106,0:00:18.734376,-20.95309530478206
200,1e-2,13,69.3,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:05:51.415858,0:00:19.828128,-20.95356435173424
200,1e-2,14,68.1,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:05:52.493980,0:00:20.906250,-20.9540287082169
200,1e-2,15,67.3,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:05:53.665858,0:00:22.078128,-20.95448842113473
200,1e-2,16,70.0,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:05:54.759611,0:00:23.171881,-20.954943536923384
200,1e-2,17,66.7,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:05:55.853355,0:00:24.265625,-20.955394101554152
200,1e-2,18,68.6,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:05:56.947105,0:00:25.359375,-20.95584016053861
200,1e-2,19,71.4,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:05:58.040857,0:00:26.453127,-20.956281758933226
200,1e-2,20,66.5,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:05:59.275227,0:00:27.687497,-20.956718941343894
200,1e-2,21,65.7,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:06:00.368981,0:00:28.781251,-20.957151751930457
200,1e-2,22,65.7,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:06:01.462730,0:00:29.875000,-20.957580234411154
200,1e-2,23,70.4,11.8,2022-08-11 18:05:31.587730,2022-08-11 18:06:02.572108,0:00:30.984378,-20.958004432067042
200,1e-2,24,76.7,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:06:03.743981,0:00:32.156251,-20.958424387746373
200,1e-2,25,67.1,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:06:04.837731,0:00:33.250001,-20.95884014386891
200,1e-2,26,66.7,11.9,2022-08-11 18:05:31.587730,2022-08-11 18:06:05.915857,0:00:34.328127,-20.95925174243022
