Neurons,Episode Number,CPU in %,Ram,Start Time,End Time,Execution Time,Reward Total,Running Mean
800,1,77.0,9.9,2022-08-10 03:39:31.740652,2022-08-10 03:39:38.225034,0:00:06.484382,-21.0,-21.0
800,2,86.4,9.9,2022-08-10 03:39:31.740652,2022-08-10 03:39:42.350033,0:00:10.609381,-20.0,-20.99
800,3,87.1,9.9,2022-08-10 03:39:31.740652,2022-08-10 03:39:46.818781,0:00:15.078129,-21.0,-20.990099999999998
800,4,88.3,9.8,2022-08-10 03:39:31.740652,2022-08-10 03:39:50.506282,0:00:18.765630,-21.0,-20.990199
800,5,88.0,10.0,2022-08-10 03:39:31.740652,2022-08-10 03:39:56.162530,0:00:24.421878,-19.0,-20.970297010000003
800,6,89.8,10.0,2022-08-10 03:39:31.740652,2022-08-10 03:40:02.053158,0:00:30.312506,-20.0,-20.960594039900002
800,7,96.0,9.8,2022-08-10 03:39:31.740652,2022-08-10 03:40:06.006284,0:00:34.265632,-21.0,-20.960988099501
800,8,93.0,10.0,2022-08-10 03:39:31.740652,2022-08-10 03:40:11.131282,0:00:39.390630,-19.0,-20.941378218505992
800,9,84.4,9.9,2022-08-10 03:39:31.740652,2022-08-10 03:40:14.896907,0:00:43.156255,-21.0,-20.941964436320934
800,10,90.1,9.9,2022-08-10 03:39:31.740652,2022-08-10 03:40:18.600031,0:00:46.859379,-21.0,-20.942544791957726
800,11,88.7,10.0,2022-08-10 03:39:31.740652,2022-08-10 03:40:22.740654,0:00:51.000002,-20.0,-20.933119344038147
800,12,88.4,10.0,2022-08-10 03:39:31.740652,2022-08-10 03:40:27.709405,0:00:55.968753,-20.0,-20.923788150597765
800,13,87.9,10.1,2022-08-10 03:39:31.740652,2022-08-10 03:40:32.553157,0:01:00.812505,-21.0,-20.92455026909179
800,14,87.6,10.1,2022-08-10 03:39:31.740652,2022-08-10 03:40:37.225030,0:01:05.484378,-20.0,-20.91530476640087
800,15,90.8,10.0,2022-08-10 03:39:31.740652,2022-08-10 03:40:41.725032,0:01:09.984380,-21.0,-20.91615171873686
800,16,86.7,10.0,2022-08-10 03:39:31.740652,2022-08-10 03:40:45.896904,0:01:14.156252,-20.0,-20.90699020154949
800,17,88.6,9.9,2022-08-10 03:39:31.740652,2022-08-10 03:40:49.740656,0:01:18.000004,-21.0,-20.907920299533995
800,18,87.6,9.9,2022-08-10 03:39:31.740652,2022-08-10 03:40:53.850030,0:01:22.109378,-21.0,-20.908841096538655
800,19,86.9,10.0,2022-08-10 03:39:31.740652,2022-08-10 03:40:58.256278,0:01:26.515626,-20.0,-20.89975268557327
800,20,85.9,10.2,2022-08-10 03:39:31.740652,2022-08-10 03:41:02.787531,0:01:31.046879,-21.0,-20.900755158717537
800,21,88.0,10.2,2022-08-10 03:39:31.740652,2022-08-10 03:41:07.428155,0:01:35.687503,-21.0,-20.901747607130364
800,22,88.0,10.0,2022-08-10 03:39:31.740652,2022-08-10 03:41:12.381283,0:01:40.640631,-20.0,-20.89273013105906
800,23,87.9,10.0,2022-08-10 03:39:31.740652,2022-08-10 03:41:16.178155,0:01:44.437503,-21.0,-20.89380282974847
800,24,87.8,9.8,2022-08-10 03:39:31.740652,2022-08-10 03:41:20.865653,0:01:49.125001,-21.0,-20.894864801450986
800,25,88.7,9.9,2022-08-10 03:39:31.740652,2022-08-10 03:41:25.006277,0:01:53.265625,-20.0,-20.885916153436476
800,26,85.4,9.9,2022-08-10 03:39:31.740652,2022-08-10 03:41:29.709402,0:01:57.968750,-20.0,-20.87705699190211
800,27,87.2,9.9,2022-08-10 03:39:31.740652,2022-08-10 03:41:34.350028,0:02:02.609376,-20.0,-20.868286421983086
800,28,87.8,9.9,2022-08-10 03:39:31.740652,2022-08-10 03:41:38.631278,0:02:06.890626,-19.0,-20.849603557763256
800,29,89.3,9.8,2022-08-10 03:39:31.740652,2022-08-10 03:41:43.943777,0:02:12.203125,-19.0,-20.831107522185626
800,30,87.9,9.9,2022-08-10 03:39:31.740652,2022-08-10 03:41:48.146910,0:02:16.406258,-21.0,-20.83279644696377
800,31,86.0,9.9,2022-08-10 03:39:31.740652,2022-08-10 03:41:52.396910,0:02:20.656258,-21.0,-20.83446848249413
800,32,85.5,9.9,2022-08-10 03:39:31.740652,2022-08-10 03:41:56.396908,0:02:24.656256,-21.0,-20.83612379766919
800,33,86.5,9.9,2022-08-10 03:39:31.740652,2022-08-10 03:42:00.850032,0:02:29.109380,-21.0,-20.8377625596925
800,34,89.4,9.9,2022-08-10 03:39:31.740652,2022-08-10 03:42:04.896907,0:02:33.156255,-21.0,-20.839384934095577
800,35,87.5,10.0,2022-08-10 03:39:31.740652,2022-08-10 03:42:09.725029,0:02:37.984377,-19.0,-20.82099108475462
800,36,85.5,9.9,2022-08-10 03:39:31.740652,2022-08-10 03:42:13.771904,0:02:42.031252,-21.0,-20.822781173907075
800,37,85.6,9.9,2022-08-10 03:39:31.740652,2022-08-10 03:42:17.506280,0:02:45.765628,-21.0,-20.824553362168004
800,38,88.8,9.9,2022-08-10 03:39:31.740652,2022-08-10 03:42:21.553155,0:02:49.812503,-21.0,-20.826307828546323
